fips_code,state_id,state_name,year,niaaa_pop_21_plus,census_total_pop,census_percent_pop_21_plus,census_percent_pop_18_24,census_percent_pop_25_34,census_percent_pop_35_44,census_percent_pop_45_54,census_percent_pop_55_64,census_percent_pop_65_plus,census_percent_pop_male,census_percent_pop_female,census_percent_pop_married,census_percent_pop_widowed,census_percent_pop_divorced,census_percent_pop_separated,census_percent_pop_never_married,ed_census_percent_pop_less_hs,ed_census_percent_pop_only_hs,ed_census_percent_pop_some_college_or_assoc,ed_percent_pop_college_grad_only,ed_percent_pop_grad_prof_degree,census_percent_employed,census_percent_unemployed,census_percent_armed_forces_employment,census_percent_not_in_labor_force,brfss_drinking_culture_surrogate_metric_percent_binge,tpc_state_beer_tax_rates_dollar_gal,bea_personal_income_dollars,bea_disp_inc_dollars,bea_percapita_personal_income_dollars,bea_percapita_disp_inc_dollars,census_median_household_inc_dollars,niaaa_total_beer_vol_consumed_gallons,niaaa_legal_adult_per_capita_beer_consumed_gallons,ba_craft_beer_produced_gallons,ba_legal_adult_per_capita_craft_beer_produced_gallons
39,OH,Ohio,2010,8314921,11536182,0.7210,0.0950,0.1230,0.1280,0.1510,0.1270,0.1410,0.4880,0.5120,0.4900,0.0660,0.1190,0.0190,0.3060,0.1190,0.3520,0.2830,0.1570,0.0890,0.5670,0.0730,0.0010,0.3590,0.172,0.18,422204.4,381366.5,36580,33042,45090,271227706,32.62,,
40,OK,Oklahoma,2010,2660456,3761702,0.7070,0.1010,0.1350,0.1240,0.1400,0.1170,0.1360,0.4930,0.5070,0.5090,0.0660,0.1310,0.0220,0.2720,0.1380,0.3200,0.3130,0.1540,0.0750,0.5690,0.0510,0.0070,0.3740,0.13,0.4,139695.1,128617.5,37157,34211,42072,77996000,29.32,,
41,OR,Oregon,2010,2813811,3838957,0.7340,0.0930,0.1370,0.1300,0.1410,0.1340,0.1390,0.4950,0.5050,0.5010,0.0560,0.1340,0.0170,0.2910,0.1120,0.2500,0.3500,0.1830,0.1050,0.5540,0.0810,0.0010,0.3650,0.143,0.08,137926.3,123769.5,35941,32252,46560,83678237,29.74,,
42,PA,Pennsylvania,2010,9347144,12709630,0.7340,0.1000,0.1190,0.1270,0.1520,0.1290,0.1550,0.4870,0.5130,0.4830,0.0730,0.0940,0.0240,0.3270,0.1160,0.3750,0.2390,0.1670,0.1040,0.5690,0.0600,0.0010,0.3700,0.152,0.08,535335.5,482145.1,42098,37915,49288,323516000,34.61,,
44,RI,Rhode Island,2010,773282,1052886,0.7320,0.1130,0.1200,0.1310,0.1530,0.1250,0.1440,0.4830,0.5170,0.4340,0.0690,0.1170,0.0200,0.3590,0.1650,0.2720,0.2610,0.1810,0.1220,0.5720,0.0700,0.0040,0.3540,0.162,0.1,44973.9,40774.9,42631,38651,52254,20951988,27.09,,
45,SC,South Carolina,2010,3339308,4636312,0.7180,0.1040,0.1270,0.1300,0.1420,0.1270,0.1370,0.4860,0.5140,0.4720,0.0690,0.1040,0.0350,0.3210,0.1590,0.3050,0.2900,0.1580,0.0880,0.5320,0.0780,0.0090,0.3810,0.123,0.77,151745.9,139620.1,32747,30130,42018,110236000,33.01,,
46,SD,South Dakota,2010,576836,816463,0.7030,0.1000,0.1270,0.1170,0.1440,0.1190,0.1440,0.5040,0.4960,0.5230,0.0620,0.1080,0.0090,0.2980,0.1040,0.3160,0.3170,0.1860,0.0770,0.6420,0.0410,0.0060,0.3110,0.177,0.27,33682.9,31445.9,41274,38533,45696,22289000,38.64,,
47,TN,Tennessee,2010,4591824,6356897,0.7200,0.0970,0.1280,0.1350,0.1440,0.1240,0.1350,0.4870,0.5130,0.5000,0.0660,0.1270,0.0240,0.2830,0.1640,0.3350,0.2700,0.1460,0.0850,0.5440,0.0690,0.0030,0.3840,0.066,0.14,227613,212656.9,35809,33456,41461,119979469,26.13,,
48,TX,Texas,2010,17234599,25257114,0.6820,0.1030,0.1430,0.1380,0.1360,0.1040,0.1040,0.4960,0.5040,0.5000,0.0520,0.1100,0.0280,0.3110,0.1930,0.2560,0.2920,0.1730,0.0860,0.5890,0.0570,0.0050,0.3480,0.147,0.19,982052.8,904297,38910,35830,48615,596235392,34.6,,
49,UT,Utah,2010,1767313,2776469,0.6360,0.1150,0.1620,0.1200,0.1120,0.0870,0.0900,0.5030,0.4970,0.5730,0.0380,0.0880,0.0140,0.2850,0.0940,0.2450,0.3680,0.1990,0.0940,0.6180,0.0640,0.0020,0.3160,0.087,0.41,88940.5,81116.7,32038,29220,54744,32209000,18.22,,
50,VT,Vermont,2010,465271,625960,0.7420,0.1040,0.1110,0.1240,0.1620,0.1450,0.1460,0.4920,0.5080,0.5050,0.0540,0.1190,0.0130,0.3090,0.0900,0.3150,0.2590,0.2030,0.1330,0.6280,0.0550,0.0010,0.3160,0.171,0.27,25988.7,23828.5,41492,38043,49406,16957000,36.45,,
51,VA,Virginia,2010,5820350,8024617,0.7220,0.1010,0.1350,0.1400,0.1510,0.1200,0.1220,0.4910,0.5090,0.5080,0.0560,0.1000,0.0260,0.3100,0.1350,0.2540,0.2690,0.2010,0.1420,0.5970,0.0510,0.0180,0.3330,0.169,0.26,364677.9,325496.5,45443,40560,60674,158652676,27.26,,
53,WA,Washington,2010,4878383,6744496,0.7220,0.0970,0.1390,0.1350,0.1460,0.1250,0.1230,0.4980,0.5020,0.5130,0.0500,0.1190,0.0180,0.3010,0.1020,0.2380,0.3490,0.1990,0.1110,0.5750,0.0690,0.0090,0.3470,0.154,0.26,285436.7,262234.4,42327,38886,55631,123349000,25.28,,
54,WV,West Virginia,2010,1389741,1853973,0.7470,0.0930,0.1180,0.1290,0.1470,0.1440,0.1610,0.4930,0.5070,0.5090,0.0820,0.1290,0.0160,0.2640,0.1680,0.4160,0.2410,0.1090,0.0660,0.4930,0.0480,0.0020,0.4570,0.09,0.18,60532.1,55430.1,32642,29891,38218,42682040,30.71,,
55,WI,Wisconsin,2010,4108445,5691047,0.7210,0.0970,0.1260,0.1270,0.1530,0.1240,0.1370,0.4970,0.5030,0.5110,0.0590,0.1080,0.0110,0.3110,0.0990,0.3330,0.3050,0.1740,0.0900,0.6220,0.0610,0.0010,0.3170,0.216,0.06,222260.9,200847.9,39048,35286,49001,154070000,37.5,,
56,WY,Wyoming,2010,404675,564460,0.7130,0.1010,0.1360,0.1170,0.1500,0.1300,0.1240,0.5090,0.4910,0.5570,0.0550,0.1240,0.0160,0.2490,0.0770,0.3020,0.3800,0.1570,0.0840,0.6340,0.0420,0.0060,0.3170,0.146,0.02,26185.4,23848.2,46395,42254,53512,13505814,33.37,,
1,AL,Alabama,2011,3467668,4802740,0.7220,0.1010,0.1270,0.1280,0.1430,0.1270,0.1400,0.4840,0.5160,0.4880,0.0700,0.1240,0.0270,0.2910,0.1730,0.3090,0.2960,0.1390,0.0840,0.5200,0.0680,0.0040,0.4080,0.137,1.05,167882.2,152835.4,34887,31760,41415,101246000,29.2,29202,0.01
2,AK,Alaska,2011,502699,722718,0.6960,0.1070,0.1470,0.1290,0.1490,0.1260,0.0800,0.5160,0.4840,0.4950,0.0380,0.1240,0.0210,0.3230,0.0820,0.2810,0.3730,0.1690,0.0950,0.6210,0.0600,0.0300,0.2890,0.208,1.07,37870.6,34789.2,52415,48150,67825,14688320,29.22,4870317,9.69
4,AZ,Arizona,2011,4574939,6482505,0.7040,0.1000,0.1340,0.1270,0.1300,0.1170,0.1430,0.4980,0.5020,0.4770,0.0560,0.1260,0.0200,0.3210,0.1430,0.2460,0.3450,0.1710,0.0950,0.5330,0.0670,0.0030,0.3970,0.176,0.16,227203.3,206128.2,35244,31975,46709,132997688,29.07,2141480,0.47
5,AR,Arkansas,2011,2103411,2937979,0.7140,0.0960,0.1300,0.1240,0.1370,0.1240,0.1460,0.4930,0.5070,0.5130,0.0680,0.1340,0.0240,0.2610,0.1620,0.3570,0.2780,0.1310,0.0720,0.5370,0.0550,0.0020,0.4050,0.141,0.24,100449.5,91406,34180,31103,38758,51707608,24.58,126449,0.06
6,CA,California,2011,26698281,37691912,0.7080,0.1060,0.1430,0.1370,0.1390,0.1120,0.1170,0.4970,0.5030,0.4650,0.0520,0.0970,0.0240,0.3630,0.1890,0.2110,0.2970,0.1920,0.1110,0.5560,0.0780,0.0040,0.3610,0.186,0.2,1713428,1504645.4,45509,39963,57287,643901979,24.12,62627626,2.35
8,CO,Colorado,2011,3677266,5116796,0.7190,0.0980,0.1460,0.1390,0.1420,0.1230,0.1120,0.5020,0.4980,0.5090,0.0460,0.1190,0.0170,0.3090,0.0980,0.2240,0.3120,0.2330,0.1340,0.6200,0.0630,0.0080,0.3090,0.201,0.08,223873.9,197828.9,43732,38645,55387,110355503,30.01,36745974,9.99
9,CT,Connecticut,2011,2625845,3580709,0.7310,0.0930,0.1200,0.1300,0.1600,0.1290,0.1440,0.4870,0.5130,0.4840,0.0620,0.1070,0.0160,0.3310,0.1090,0.2770,0.2520,0.2050,0.1570,0.6060,0.0720,0.0030,0.3190,0.179,0.19,226305.8,194389.7,62964,54084,65753,56930220,21.68,724532,0.28
10,DE,Delaware,2011,662152,907135,0.7300,0.1010,0.1260,0.1260,0.1470,0.1280,0.1480,0.4850,0.5150,0.4710,0.0630,0.1130,0.0190,0.3340,0.1300,0.3160,0.2660,0.1710,0.1170,0.5780,0.0570,0.0050,0.3600,0.203,0.16,39760.6,35455.8,43781,39041,58814,22323999,33.71,4772698,7.21
11,DC,District of Columbia,2011,481567,617996,0.7670,0.1360,0.2160,0.1340,0.1220,0.1090,0.1130,0.4730,0.5270,0.2500,0.0530,0.0940,0.0240,0.5800,0.1280,0.1770,0.1700,0.2330,0.2920,0.5940,0.0760,0.0040,0.3260,0.25,0.09,41361.1,35780.5,66950,57917,63124,14229000,29.55,87482,0.18
12,FL,Florida,2011,14308639,19057542,0.7480,0.0940,0.1220,0.1260,0.1440,0.1280,0.1760,0.4890,0.5110,0.4620,0.0720,0.1290,0.0260,0.3110,0.1410,0.3040,0.2970,0.1650,0.0930,0.5210,0.0740,0.0030,0.4020,0.171,0.48,769798.4,699989.8,40433,36766,44299,401825171,28.08,2000461,0.14
