,fips_code,high_tourist_border_sales,year,niaaa_pop_21_plus,census_total_pop,census_total_pop_21_plus,census_percent_pop_21_plus,census_percent_pop_18_24,census_percent_pop_25_34,census_percent_pop_35_44,census_percent_pop_45_54,census_percent_pop_55_64,census_percent_pop_65_plus,census_percent_pop_male,census_percent_pop_female,census_percent_pop_married,census_percent_pop_widowed,census_percent_pop_divorced,census_percent_pop_separated,census_percent_pop_never_married,ed_census_percent_pop_less_hs,ed_census_percent_pop_only_hs,ed_census_percent_pop_some_college_or_assoc,ed_percent_pop_college_grad_only,ed_percent_pop_grad_prof_degree,census_percent_employed,census_percent_unemployed,census_percent_armed_forces_employment,census_percent_not_in_labor_force,brfss_drinking_culture_surrogate_metric_percent_binge,tpc_state_beer_tax_rates_dollar_gal,bea_personal_income_dollars,bea_disp_inc_dollars,bea_percapita_personal_income_dollars,bea_percapita_disp_inc_dollars,census_median_household_inc_dollars,census_percent_pop_in_poverty_est,niaaa_total_beer_vol_consumed_gallons,niaaa_legal_adult_per_capita_beer_consumed_gallons,ba_craft_beer_produced_gallons,ba_legal_adult_per_capita_craft_beer_produced_gallons
201,54,0,2013,1401502,1854304,1394437,0.752,0.096,0.115,0.126,0.137,0.147,0.173,0.494,0.506,0.494,0.077,0.132,0.016,0.281,0.154,0.402,0.254,0.113,0.076,0.497,0.046,0.001,0.456,0.112,0.18,65152.6,58977.3,35092,31766,41253,0.173,42997000,30.68,159557.0,0.11
202,55,0,2013,4182560,5742713,4192180,0.73,0.097,0.128,0.121,0.145,0.134,0.147,0.497,0.503,0.505,0.058,0.107,0.01,0.32,0.091,0.32,0.312,0.184,0.094,0.627,0.043,0.0,0.329,0.225,0.06,245762.3,217673.1,42688,37809,51467,0.11,152086000,36.36,14219890.0,3.4
203,56,0,2013,421085,582658,419514,0.72,0.101,0.14,0.12,0.128,0.137,0.133,0.511,0.489,0.541,0.053,0.121,0.018,0.268,0.065,0.284,0.385,0.178,0.088,0.644,0.034,0.006,0.316,0.166,0.02,30694.1,27277.9,52836,46956,58752,0.118,13105901,31.12,491753.0,1.17
204,1,0,2014,3544670,4849377,3530346,0.728,0.1,0.127,0.126,0.134,0.13,0.154,0.484,0.516,0.476,0.071,0.125,0.025,0.302,0.153,0.316,0.297,0.147,0.088,0.525,0.049,0.003,0.423,0.12,1.05,179487.1,162978.1,36729,33351,42830,0.178,99944000,28.2,1223012.0,0.35
205,2,1,2014,521144,736732,517186,0.702,0.115,0.154,0.126,0.131,0.125,0.095,0.523,0.477,0.481,0.037,0.118,0.018,0.347,0.071,0.284,0.365,0.184,0.096,0.619,0.051,0.03,0.3,0.202,1.07,40642.1,37075.5,55098,50262,71583,0.119,14581713,27.98,6216337.0,11.93
206,4,0,2014,4831349,6731484,4819743,0.716,0.1,0.133,0.125,0.124,0.118,0.159,0.497,0.503,0.468,0.056,0.123,0.018,0.334,0.139,0.243,0.342,0.173,0.103,0.542,0.047,0.003,0.408,0.149,0.16,253711.6,228628.0,38220,34441,50068,0.212,143313000,29.66,4857748.0,1.01
207,5,0,2014,2142461,2966369,2132819,0.719,0.098,0.128,0.126,0.128,0.125,0.157,0.491,0.509,0.496,0.068,0.129,0.025,0.282,0.147,0.349,0.291,0.138,0.075,0.542,0.039,0.002,0.418,0.133,0.24,113171.5,102362.7,38218,34568,41262,0.184,51559867,24.07,453863.0,0.21
208,6,0,2014,27843765,38802500,27976603,0.721,0.103,0.147,0.134,0.135,0.117,0.128,0.496,0.504,0.462,0.051,0.096,0.022,0.368,0.179,0.209,0.295,0.2,0.118,0.574,0.053,0.004,0.368,0.156,0.2,1955718.0,1679406.9,50619,43467,61933,0.158,699849640,25.13,106116840.0,3.81
209,8,0,2014,3894673,5355866,3893715,0.727,0.098,0.149,0.135,0.133,0.125,0.127,0.503,0.497,0.503,0.043,0.122,0.016,0.316,0.095,0.219,0.303,0.241,0.143,0.637,0.037,0.007,0.319,0.175,0.08,268453.1,235238.8,50244,44028,61303,0.123,111249354,28.56,51884275.0,13.32
210,9,0,2014,2661435,3596677,2665138,0.741,0.097,0.122,0.123,0.153,0.136,0.155,0.488,0.512,0.474,0.057,0.111,0.012,0.345,0.099,0.275,0.245,0.213,0.167,0.616,0.053,0.003,0.328,0.159,0.24,233084.0,195077.7,64482,53968,70048,0.086,56477928,21.22,2253142.0,0.85
211,10,1,2014,691868,935614,690483,0.738,0.098,0.13,0.119,0.137,0.133,0.164,0.485,0.515,0.468,0.061,0.122,0.015,0.334,0.11,0.312,0.272,0.183,0.123,0.585,0.042,0.004,0.369,0.157,0.16,42422.9,37683.7,45364,40297,59716,0.11,20853576,30.14,7428375.0,10.74
212,11,1,2014,514517,658893,509983,0.774,0.122,0.228,0.141,0.117,0.105,0.113,0.474,0.526,0.275,0.044,0.09,0.025,0.565,0.098,0.182,0.17,0.243,0.306,0.623,0.061,0.006,0.311,0.249,0.09,46124.0,39080.4,70466,59705,71648,0.19,14477000,28.14,640469.0,1.24
213,12,0,2014,15090776,19893297,15079119,0.758,0.09,0.126,0.122,0.137,0.129,0.191,0.489,0.511,0.458,0.071,0.13,0.024,0.316,0.128,0.296,0.304,0.174,0.098,0.536,0.047,0.003,0.414,0.15,0.48,848535.3,757871.4,42865,38285,47463,0.167,407956097,27.03,34970758.0,2.32
214,13,0,2014,7161355,10097343,7148919,0.708,0.102,0.136,0.137,0.138,0.117,0.124,0.487,0.513,0.463,0.056,0.113,0.024,0.344,0.144,0.284,0.282,0.182,0.108,0.567,0.051,0.006,0.376,0.142,1.01,398585.7,355074.7,39551,35234,49321,0.168,185535000,25.91,8777740.0,1.23
215,15,1,2014,1058305,1419561,1057573,0.745,0.096,0.149,0.124,0.126,0.127,0.16,0.505,0.495,0.493,0.065,0.096,0.012,0.335,0.083,0.285,0.322,0.206,0.105,0.581,0.033,0.035,0.352,0.197,0.93,65182.2,58411.7,45448,40727,69592,0.108,33139000,31.31,860553.0,0.81
216,16,0,2014,1135448,1634464,1131049,0.692,0.097,0.129,0.124,0.12,0.122,0.144,0.5,0.5,0.546,0.052,0.118,0.014,0.27,0.099,0.282,0.369,0.168,0.083,0.581,0.034,0.003,0.381,0.148,0.15,60897.0,55056.4,37128,33567,47861,0.124,30380000,26.76,1797100.0,1.58
217,17,0,2014,9371850,12880580,9364182,0.727,0.098,0.138,0.131,0.137,0.126,0.139,0.491,0.509,0.474,0.058,0.1,0.017,0.352,0.118,0.267,0.287,0.201,0.127,0.6,0.053,0.002,0.346,0.202,0.23,629465.0,548692.2,48531,42304,57444,0.137,263212024,28.09,12433077.0,1.33
218,18,0,2014,4729682,6596855,4716751,0.715,0.102,0.128,0.126,0.135,0.127,0.143,0.492,0.508,0.491,0.059,0.129,0.015,0.306,0.116,0.343,0.295,0.157,0.089,0.595,0.045,0.0,0.36,0.148,0.12,269159.1,242163.9,40721,36637,49446,0.146,116807997,24.7,4899331.0,1.04
219,19,0,2014,2240941,3107126,2243345,0.722,0.103,0.126,0.118,0.132,0.131,0.158,0.497,0.503,0.53,0.062,0.106,0.011,0.29,0.079,0.317,0.327,0.186,0.09,0.647,0.03,0.001,0.322,0.214,0.19,137733.5,123370.0,44123,39522,53712,0.103,75858329,33.85,1342598.0,0.6
220,20,0,2014,2052888,2904021,2053143,0.707,0.103,0.133,0.121,0.126,0.125,0.144,0.498,0.502,0.521,0.058,0.116,0.013,0.291,0.097,0.265,0.323,0.203,0.113,0.619,0.034,0.007,0.34,0.158,0.18,134773.9,120832.3,46290,41502,52504,0.121,53768578,26.19,1123677.0,0.55
221,21,0,2014,3228726,4413457,3217410,0.729,0.098,0.128,0.127,0.139,0.131,0.148,0.493,0.507,0.496,0.067,0.131,0.023,0.284,0.155,0.338,0.284,0.13,0.092,0.544,0.045,0.004,0.407,0.127,0.08,164862.1,147914.4,37226,33399,42958,0.2,75943465,23.52,2220851.0,0.69
222,22,0,2014,3353308,4649676,3338467,0.718,0.102,0.142,0.124,0.13,0.126,0.136,0.489,0.511,0.433,0.066,0.12,0.027,0.355,0.164,0.338,0.269,0.152,0.078,0.552,0.044,0.004,0.4,0.16,0.32,197729.8,178989.0,42533,38502,44555,0.231,109523000,32.66,6133437.0,1.83
223,23,0,2014,1020895,1330089,1021508,0.768,0.085,0.114,0.117,0.152,0.155,0.182,0.487,0.513,0.496,0.062,0.146,0.01,0.287,0.083,0.323,0.3,0.194,0.1,0.593,0.037,0.002,0.369,0.17,0.35,54984.6,49435.7,41140,36988,49462,0.146,34255000,33.55,8979034.0,8.8
224,24,0,2014,4376581,5976407,4380706,0.733,0.094,0.138,0.129,0.147,0.128,0.137,0.485,0.515,0.465,0.057,0.1,0.025,0.354,0.104,0.257,0.257,0.207,0.175,0.627,0.048,0.005,0.319,0.154,0.09,318983.1,275659.4,53084,45875,73971,0.098,93856658,21.45,6534116.0,1.49
225,25,0,2014,5057088,6745408,5045565,0.748,0.104,0.138,0.124,0.146,0.131,0.151,0.485,0.515,0.458,0.057,0.095,0.019,0.371,0.103,0.249,0.236,0.232,0.18,0.629,0.045,0.001,0.325,0.174,0.11,396488.7,334155.5,58141,49000,69160,0.136,123779057,24.48,11559365.0,2.29
226,26,0,2014,7282231,9909877,7263940,0.733,0.101,0.121,0.12,0.141,0.138,0.154,0.491,0.509,0.476,0.061,0.118,0.014,0.332,0.101,0.297,0.329,0.165,0.108,0.559,0.05,0.0,0.39,0.189,0.2,407267.0,362554.6,40830,36348,49847,0.148,192738252,26.47,25578181.0,3.51
227,27,0,2014,3952182,5457173,3961908,0.726,0.092,0.138,0.123,0.139,0.131,0.143,0.497,0.503,0.517,0.051,0.102,0.011,0.32,0.074,0.257,0.326,0.227,0.116,0.663,0.033,0.001,0.303,0.195,0.15,270190.2,234034.9,49365,42759,61481,0.083,112486408,28.46,16387923.0,4.15
228,28,0,2014,2132130,2994079,2116814,0.707,0.104,0.128,0.129,0.127,0.125,0.143,0.487,0.513,0.44,0.072,0.121,0.032,0.336,0.172,0.3,0.317,0.13,0.08,0.517,0.056,0.004,0.423,0.128,0.43,103442.7,95153.1,34624,31849,39680,0.221,71424000,33.5,766475.0,0.36
229,29,0,2014,4423401,6063589,4414293,0.728,0.098,0.131,0.121,0.136,0.131,0.154,0.49,0.51,0.488,0.063,0.124,0.02,0.305,0.111,0.314,0.3,0.171,0.104,0.581,0.042,0.004,0.373,0.151,0.06,250783.7,223920.8,41380,36948,48363,0.104,128761279,29.11,10142617.0,2.29
230,30,0,2014,756715,1023579,755401,0.738,0.101,0.125,0.112,0.128,0.147,0.166,0.502,0.498,0.51,0.061,0.127,0.016,0.286,0.074,0.306,0.327,0.195,0.098,0.601,0.031,0.004,0.364,0.189,0.14,42901.4,38238.4,41855,37306,46328,0.12,30580609,40.41,4813783.0,6.36
231,31,0,2014,1330699,1881503,1330223,0.707,0.1,0.135,0.121,0.126,0.125,0.144,0.498,0.502,0.525,0.058,0.107,0.013,0.297,0.097,0.272,0.335,0.202,0.093,0.671,0.029,0.003,0.297,0.203,0.31,91084.5,81556.5,48195,43154,52686,0.118,46159000,34.69,1052118.0,0.79
232,32,1,2014,2061304,2839099,2069703,0.729,0.091,0.143,0.135,0.135,0.122,0.141,0.503,0.497,0.447,0.051,0.142,0.022,0.337,0.149,0.282,0.338,0.152,0.079,0.577,0.056,0.003,0.363,0.16,0.16,115514.1,103922.8,41112,36986,51450,0.17,72436028,35.14,1633210.0,0.79
233,33,1,2014,1006901,1326813,1000417,0.754,0.097,0.117,0.12,0.158,0.149,0.158,0.494,0.506,0.515,0.055,0.122,0.011,0.296,0.078,0.286,0.286,0.217,0.133,0.644,0.035,0.001,0.32,0.168,0.3,69630.5,62558.6,51993,46713,66532,0.072,42419976,42.13,2478501.0,2.46
234,34,0,2014,6536801,8938175,6587435,0.737,0.089,0.128,0.132,0.15,0.129,0.147,0.488,0.512,0.486,0.061,0.085,0.02,0.347,0.109,0.282,0.235,0.231,0.143,0.61,0.05,0.001,0.339,0.158,0.12,509357.6,439473.5,56383,48647,71919,0.113,137420208,21.02,2086951.0,0.32
235,35,0,2014,1500684,2085572,1493270,0.716,0.101,0.132,0.118,0.127,0.129,0.152,0.495,0.505,0.453,0.06,0.123,0.019,0.345,0.158,0.264,0.314,0.151,0.114,0.534,0.051,0.006,0.41,0.137,0.41,77266.0,70306.2,36880,33558,44803,0.2,48570823,32.37,2388504.0,1.59
236,36,0,2014,14644554,19746227,14691193,0.744,0.1,0.144,0.127,0.141,0.127,0.146,0.485,0.515,0.443,0.06,0.087,0.025,0.385,0.143,0.266,0.247,0.196,0.149,0.585,0.046,0.001,0.368,0.15,0.14,1090000.8,905575.3,54495,45274,58878,0.14,328356273,22.42,29395070.0,2.01
237,37,0,2014,7244796,9943964,7209374,0.725,0.1,0.129,0.133,0.137,0.125,0.147,0.487,0.513,0.484,0.063,0.109,0.03,0.314,0.136,0.266,0.311,0.186,0.101,0.563,0.051,0.01,0.376,0.136,0.62,393886.1,351332.9,39866,35559,46556,0.171,190264695,26.26,11546669.0,1.59
238,38,0,2014,534642,739482,536864,0.726,0.126,0.146,0.111,0.123,0.125,0.141,0.509,0.491,0.521,0.057,0.094,0.008,0.319,0.078,0.279,0.369,0.198,0.076,0.665,0.021,0.009,0.306,0.24,0.16,42181.3,37298.9,56665,50106,59029,0.097,22514390,42.11,141714.0,0.27
239,39,0,2014,8495730,11594163,8475333,0.731,0.095,0.127,0.122,0.138,0.136,0.155,0.49,0.51,0.474,0.064,0.123,0.017,0.321,0.106,0.339,0.288,0.166,0.101,0.587,0.045,0.001,0.367,0.181,0.18,492475.6,438364.6,42278,37633,49308,0.156,253611000,29.85,39504258.0,4.65
240,40,0,2014,2767586,3878051,2757294,0.711,0.102,0.136,0.123,0.126,0.122,0.145,0.495,0.505,0.501,0.063,0.133,0.021,0.282,0.127,0.317,0.314,0.16,0.081,0.573,0.034,0.006,0.387,0.129,0.4,177635.7,161105.4,45882,41612,47529,0.173,75981000,27.45,788186.0,0.28
241,41,0,2014,2958233,3970239,2953858,0.744,0.092,0.136,0.131,0.128,0.137,0.16,0.495,0.505,0.485,0.055,0.135,0.018,0.307,0.103,0.243,0.346,0.192,0.116,0.566,0.048,0.001,0.385,0.166,0.08,165171.9,144305.1,41653,36391,51075,0.144,90537596,30.61,32210947.0,10.89
242,42,0,2014,9550351,12787209,9539258,0.746,0.096,0.128,0.119,0.141,0.138,0.167,0.489,0.511,0.477,0.068,0.096,0.022,0.336,0.106,0.364,0.241,0.175,0.114,0.581,0.044,0.0,0.375,0.167,0.08,611421.7,540060.9,47469,41929,53234,0.125,315952000,33.08,126321365.0,13.23
243,44,0,2014,790343,1055173,788214,0.747,0.111,0.131,0.12,0.145,0.134,0.158,0.485,0.515,0.444,0.064,0.114,0.018,0.361,0.142,0.287,0.266,0.181,0.123,0.597,0.05,0.003,0.35,0.184,0.1,50045.1,44303.0,46639,41287,54891,0.113,20160253,25.51,559282.0,0.71
244,45,0,2014,3545487,4832482,3532544,0.731,0.101,0.128,0.125,0.134,0.131,0.158,0.487,0.513,0.466,0.067,0.111,0.032,0.324,0.139,0.303,0.295,0.167,0.096,0.549,0.049,0.008,0.394,0.141,0.77,180837.7,163645.6,37735,34148,45238,0.165,109089000,30.77,1744099.0,0.49
245,46,0,2014,603748,853175,604901,0.709,0.102,0.131,0.114,0.125,0.13,0.152,0.501,0.499,0.514,0.065,0.104,0.011,0.306,0.083,0.306,0.333,0.2,0.078,0.665,0.027,0.005,0.304,0.174,0.27,39607.1,36056.8,46727,42538,50979,0.128,22847000,37.84,146339.0,0.24
246,47,0,2014,4799004,6549352,4781027,0.73,0.096,0.13,0.129,0.136,0.129,0.151,0.487,0.513,0.487,0.064,0.126,0.024,0.298,0.142,0.333,0.272,0.162,0.091,0.557,0.047,0.003,0.392,0.106,1.15,263856.0,241982.8,40230,36895,44361,0.173,124053848,25.85,3766958.0,0.78
247,48,0,2014,18682027,26956958,18654215,0.692,0.102,0.145,0.136,0.128,0.11,0.115,0.497,0.503,0.49,0.051,0.109,0.026,0.324,0.178,0.252,0.292,0.182,0.096,0.602,0.039,0.004,0.355,0.163,0.19,1257639.6,1130364.6,46739,42009,53035,0.164,594722583,31.83,30470455.0,1.63
248,49,0,2014,1905588,2942902,1909943,0.649,0.113,0.148,0.132,0.105,0.094,0.101,0.503,0.497,0.563,0.037,0.091,0.015,0.294,0.086,0.23,0.373,0.208,0.103,0.64,0.033,0.002,0.324,0.114,0.41,111056.4,98969.1,37638,33541,60922,0.102,32550000,17.08,5009794.0,2.63
249,50,0,2014,471808,626562,475561,0.759,0.106,0.116,0.115,0.144,0.154,0.17,0.492,0.508,0.501,0.057,0.123,0.012,0.307,0.08,0.307,0.265,0.209,0.14,0.625,0.036,0.001,0.338,0.179,0.27,29724.5,26684.2,46897,42100,54166,0.093,18476000,39.16,7561059.0,16.03
250,51,0,2014,6108133,8326289,6094844,0.732,0.1,0.14,0.132,0.141,0.125,0.138,0.492,0.508,0.499,0.056,0.101,0.024,0.32,0.115,0.246,0.272,0.209,0.159,0.606,0.039,0.016,0.339,0.152,0.26,414710.1,362726.7,49764,43526,64902,0.102,153586252,25.14,6074656.0,0.99
251,53,0,2014,5193375,7061530,5183163,0.734,0.096,0.143,0.131,0.134,0.129,0.141,0.5,0.5,0.505,0.049,0.12,0.016,0.309,0.096,0.228,0.345,0.21,0.121,0.591,0.041,0.009,0.359,0.171,0.26,355276.6,318181.6,50265,45017,61366,0.12,124775000,24.03,12559059.0,2.42
252,54,0,2014,1400416,1850326,1391445,0.752,0.092,0.119,0.123,0.136,0.146,0.178,0.494,0.506,0.494,0.079,0.133,0.017,0.277,0.148,0.411,0.249,0.118,0.074,0.495,0.037,0.001,0.468,0.096,0.18,67156.8,60689.3,36242,32752,41059,0.206,41974000,29.97,245623.0,0.18
253,55,0,2014,4208782,5757564,4220294,0.733,0.097,0.127,0.12,0.142,0.135,0.152,0.496,0.504,0.506,0.056,0.11,0.011,0.317,0.086,0.319,0.31,0.189,0.095,0.633,0.035,0.0,0.331,0.221,0.06,255165.3,226522.3,44159,39202,52622,0.109,149482000,35.52,26377098.0,6.27
254,56,0,2014,421852,584153,422343,0.723,0.098,0.143,0.122,0.124,0.139,0.138,0.509,0.491,0.525,0.053,0.14,0.013,0.27,0.074,0.274,0.386,0.179,0.087,0.648,0.029,0.005,0.318,0.172,0.02,32679.6,29090.1,56252,50073,57055,0.097,13231717,31.37,577114.0,1.37
255,1,0,2015,3561343,4858979,3547055,0.73,0.096,0.129,0.126,0.133,0.132,0.157,0.484,0.516,0.466,0.071,0.126,0.025,0.312,0.151,0.31,0.297,0.154,0.088,0.526,0.041,0.002,0.431,0.116,1.05,187474.7,169520.5,38197,34538,44765,0.163,99324000,27.89,1561439.0,0.44
256,2,1,2015,524178,738432,519856,0.704,0.112,0.161,0.124,0.126,0.128,0.096,0.526,0.474,0.472,0.037,0.115,0.02,0.357,0.074,0.273,0.357,0.187,0.11,0.621,0.053,0.031,0.295,0.204,1.07,41918.6,38075.3,56714,51514,73355,0.092,14597787,27.85,6498964.0,12.4
257,4,0,2015,4924573,6828065,4916207,0.72,0.098,0.134,0.124,0.123,0.119,0.164,0.496,0.504,0.464,0.056,0.128,0.017,0.335,0.139,0.245,0.339,0.174,0.103,0.545,0.04,0.003,0.412,0.142,0.16,267474.1,239543.4,39836,35676,51492,0.172,143964000,29.23,5803603.0,1.18
258,5,0,2015,2154349,2978204,2150263,0.722,0.096,0.129,0.123,0.129,0.125,0.161,0.491,0.509,0.501,0.071,0.132,0.021,0.274,0.146,0.341,0.295,0.14,0.078,0.54,0.033,0.002,0.424,0.141,0.24,116632.4,105216.0,39266,35422,41995,0.161,52175538,24.22,763313.0,0.35
259,6,0,2015,28200824,39144818,28379993,0.725,0.101,0.149,0.133,0.134,0.118,0.132,0.497,0.503,0.462,0.05,0.095,0.022,0.371,0.178,0.208,0.291,0.203,0.12,0.581,0.046,0.004,0.37,0.165,0.2,2097049.6,1786764.4,53817,45854,64500,0.139,705526842,25.02,117793335.0,4.18
260,8,0,2015,3985098,5456574,3983299,0.73,0.097,0.152,0.135,0.13,0.125,0.13,0.502,0.498,0.506,0.043,0.12,0.014,0.317,0.088,0.217,0.302,0.248,0.145,0.638,0.035,0.007,0.32,0.176,0.08,279696.0,243622.7,51394,44766,63909,0.099,111460686,27.97,55050761.0,13.81
261,9,0,2015,2667617,3590886,2668028,0.743,0.098,0.123,0.12,0.15,0.138,0.158,0.488,0.512,0.47,0.057,0.107,0.013,0.353,0.098,0.274,0.245,0.217,0.167,0.618,0.046,0.003,0.333,0.169,0.24,239184.9,199677.4,66220,55282,71346,0.091,56661464,21.24,3270004.0,1.23
262,10,1,2015,701241,945934,700937,0.741,0.094,0.131,0.117,0.137,0.135,0.17,0.484,0.516,0.47,0.063,0.112,0.017,0.338,0.111,0.298,0.281,0.18,0.129,0.585,0.036,0.004,0.375,0.149,0.16,44626.3,39461.6,47244,41776,61255,0.111,20653471,29.45,7711002.0,11.0
263,11,1,2015,525300,672228,519632,0.773,0.121,0.227,0.143,0.115,0.104,0.114,0.476,0.524,0.29,0.046,0.088,0.022,0.554,0.102,0.174,0.157,0.238,0.329,0.64,0.05,0.007,0.302,0.272,0.09,49741.7,41864.1,74728,62894,75628,0.166,14570000,27.74,921537.0,1.75
264,12,0,2015,15410074,20271272,15406167,0.76,0.088,0.128,0.122,0.135,0.131,0.195,0.488,0.512,0.455,0.07,0.132,0.024,0.318,0.124,0.292,0.3,0.182,0.102,0.54,0.041,0.003,0.416,0.156,0.48,905450.5,802776.3,44945,39849,49426,0.162,421229917,27.33,37446016.0,2.43
265,13,0,2015,7265718,10214860,7262765,0.711,0.101,0.135,0.136,0.137,0.118,0.127,0.487,0.513,0.468,0.055,0.113,0.022,0.342,0.139,0.281,0.281,0.186,0.113,0.576,0.044,0.006,0.374,0.153,1.01,423242.0,375453.3,41529,36840,51244,0.181,185163000,25.48,11315465.0,1.56
266,15,1,2015,1066575,1431603,1070839,0.748,0.094,0.151,0.124,0.122,0.126,0.165,0.506,0.494,0.493,0.062,0.095,0.014,0.335,0.091,0.271,0.324,0.208,0.106,0.586,0.03,0.039,0.345,0.189,0.93,68200.8,60613.2,47150,41904,73486,0.109,33604000,31.51,1266443.0,1.19
267,16,0,2015,1153130,1654930,1155141,0.698,0.095,0.131,0.124,0.12,0.122,0.147,0.5,0.5,0.534,0.048,0.12,0.014,0.284,0.1,0.275,0.366,0.178,0.082,0.586,0.033,0.004,0.377,0.141,0.15,64564.3,58068.7,38838,34930,48275,0.123,30287000,26.27,2095507.0,1.82
268,17,0,2015,9387424,12859995,9374936,0.729,0.096,0.138,0.13,0.136,0.128,0.142,0.491,0.509,0.474,0.058,0.097,0.017,0.355,0.114,0.267,0.289,0.203,0.127,0.605,0.045,0.002,0.348,0.202,0.23,657080.2,570633.8,50682,44014,59588,0.109,264693607,28.2,18452347.0,1.97
269,18,0,2015,4752617,6619680,4746311,0.717,0.102,0.127,0.124,0.133,0.129,0.146,0.491,0.509,0.483,0.061,0.128,0.014,0.314,0.118,0.343,0.29,0.16,0.09,0.598,0.037,0.001,0.364,0.157,0.12,279385.7,250011.3,42149,37717,50532,0.135,117655414,24.76,5672318.0,1.19
270,19,0,2015,2252966,3123899,2249207,0.72,0.103,0.126,0.118,0.128,0.132,0.161,0.496,0.504,0.521,0.063,0.108,0.013,0.296,0.083,0.321,0.328,0.182,0.087,0.646,0.028,0.001,0.325,0.198,0.19,142521.2,127158.9,45445,40547,54736,0.104,74320220,32.99,1688632.0,0.75
271,20,0,2015,2064214,2911641,2058530,0.707,0.104,0.132,0.119,0.124,0.127,0.147,0.498,0.502,0.513,0.06,0.113,0.013,0.3,0.097,0.265,0.32,0.204,0.114,0.624,0.03,0.009,0.337,0.156,0.18,136189.1,121933.7,46597,41720,53906,0.142,53787283,26.06,1434928.0,0.7
272,21,0,2015,3243134,4425092,3221467,0.728,0.096,0.127,0.127,0.136,0.133,0.153,0.491,0.509,0.491,0.066,0.135,0.022,0.286,0.149,0.335,0.283,0.136,0.097,0.546,0.038,0.004,0.412,0.153,0.08,172269.4,153771.0,38768,34605,45215,0.195,79949409,24.65,2701836.0,0.83
273,22,0,2015,3376580,4670724,3362921,0.72,0.098,0.144,0.124,0.128,0.127,0.14,0.489,0.511,0.43,0.068,0.12,0.025,0.356,0.154,0.341,0.273,0.152,0.08,0.554,0.042,0.004,0.399,0.173,0.32,198425.9,180068.9,42484,38554,45727,0.186,107508000,31.84,6285684.0,1.86
274,23,0,2015,1023038,1329328,1022253,0.769,0.084,0.114,0.115,0.148,0.158,0.188,0.49,0.51,0.496,0.065,0.139,0.012,0.287,0.083,0.327,0.289,0.195,0.106,0.587,0.033,0.002,0.378,0.176,0.35,57356.5,51298.6,42943,38407,51494,0.123,34596000,33.82,8904967.0,8.7
275,24,0,2015,4409633,6006401,4420711,0.736,0.093,0.139,0.128,0.145,0.13,0.141,0.485,0.515,0.468,0.056,0.101,0.023,0.352,0.104,0.251,0.257,0.211,0.177,0.63,0.037,0.006,0.327,0.142,0.09,332956.2,286550.9,55041,47369,75847,0.096,93806928,21.27,8026706.0,1.82
276,25,0,2015,5099120,6794422,5102611,0.751,0.103,0.139,0.123,0.144,0.133,0.154,0.485,0.515,0.456,0.056,0.097,0.017,0.373,0.098,0.252,0.236,0.231,0.184,0.631,0.039,0.001,0.329,0.177,0.11,422547.6,354729.0,61548,51670,70628,0.115,122977060,24.12,13830898.0,2.71
277,26,0,2015,7312497,9922576,7293093,0.735,0.099,0.123,0.118,0.139,0.14,0.159,0.492,0.508,0.476,0.06,0.115,0.013,0.336,0.099,0.294,0.329,0.17,0.108,0.565,0.044,0.001,0.39,0.185,0.2,429284.9,380285.6,42984,38078,51084,0.128,180825871,24.73,23866807.0,3.26
278,27,0,2015,3983942,5489594,3990935,0.727,0.092,0.136,0.123,0.136,0.133,0.146,0.497,0.503,0.518,0.052,0.102,0.011,0.317,0.072,0.254,0.327,0.229,0.118,0.67,0.029,0.0,0.301,0.195,0.15,282988.0,243358.4,51362,44169,63488,0.078,115546543,29.0,19590605.0,4.92
279,28,0,2015,2137704,2992333,2121564,0.709,0.104,0.125,0.129,0.126,0.126,0.148,0.484,0.516,0.439,0.07,0.117,0.029,0.346,0.165,0.31,0.316,0.13,0.079,0.514,0.05,0.005,0.431,0.119,0.43,104772.2,96008.0,35100,32164,40593,0.191,70680000,33.06,954490.0,0.45
280,29,0,2015,4446058,6083672,4434997,0.729,0.098,0.131,0.121,0.133,0.133,0.157,0.49,0.51,0.488,0.065,0.124,0.018,0.305,0.111,0.31,0.301,0.173,0.106,0.594,0.033,0.004,0.369,0.167,0.06,259350.0,230119.7,42677,37867,50238,0.098,130326196,29.31,11155784.0,2.51
281,30,0,2015,765062,1032949,763349,0.739,0.097,0.125,0.115,0.125,0.146,0.173,0.502,0.498,0.506,0.061,0.13,0.012,0.291,0.065,0.315,0.315,0.204,0.102,0.59,0.028,0.004,0.377,0.198,0.14,44583.3,39654.4,43100,38335,49509,0.119,30966199,40.48,5309556.0,6.94
282,31,0,2015,1340308,1896190,1344399,0.709,0.102,0.133,0.123,0.122,0.125,0.147,0.497,0.503,0.517,0.057,0.106,0.013,0.306,0.09,0.269,0.339,0.198,0.104,0.668,0.022,0.004,0.306,0.195,0.31,94681.7,84839.7,49716,44548,54996,0.103,45353000,33.84,1224655.0,0.91
283,32,1,2015,2104292,2890845,2121880,0.734,0.088,0.142,0.134,0.135,0.123,0.146,0.501,0.499,0.446,0.055,0.142,0.024,0.333,0.144,0.279,0.341,0.155,0.081,0.581,0.05,0.004,0.365,0.142,0.16,125088.6,112064.5,43783,39224,52431,0.13,72566303,34.48,2011931.0,0.96
